NU_ANO_CENSO;CO_IES;CO_CURSO;NO_CURSO;CO_CINE_AREA_GERAL;NO_CINE_AREA_GERAL;NO_CINE_ROTULO;TP_GRAU_ACADEMICO;TP_MODALIDADE_ENSINO;TP_DIMENSAO;NO_REGIAO;SG_UF;NO_MUNICIPIO;QT_VG_TOTAL;QT_INSCRITO_TOTAL;QT_ING;QT_MAT;QT_CONC
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;3;;;;73260;9601;0;0;0
2024;322;1551097;Ciência Da Computação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Ciência da computação;1;2;3;;;;48000;2626;0;0;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;3;;;;73260;3066;0;0;0
2024;322;1382607;Redes De Computadores;06;Computação e Tecnologias da Informação e Comunicação (TIC);Redes de computadores;3;2;3;;;;73260;701;0;0;0
2024;322;1484730;Segurança Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Segurança da informação;3;2;3;;;;73260;943;0;0;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;4;;;;0;0;5;8;2
2024;322;1551097;Ciência Da Computação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Ciência da computação;1;2;4;;;;0;0;6;17;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;4;;;;0;0;0;1;1
2024;322;1382607;Redes De Computadores;06;Computação e Tecnologias da Informação e Comunicação (TIC);Redes de computadores;3;2;4;;;;0;0;1;1;0
2024;322;1484730;Segurança Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Segurança da informação;3;2;4;;;;0;0;0;0;0
2024;322;114178;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;1;1;Centro-Oeste;DF;Brasília;239;386;182;122;15
2024;322;43487;Ciência Da Computação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Ciência da computação;1;1;1;Centro-Oeste;DF;Brasília;142;190;66;97;17
2024;322;76937;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;1;1;Centro-Oeste;DF;Brasília;116;23;9;1;1
2024;322;43485;Sistemas De Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;1;1;1;Centro-Oeste;DF;Brasília;81;16;2;0;0
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;DF;Brasília;0;0;219;325;89
2024;322;1551097;Ciência Da Computação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Ciência da computação;1;2;2;Centro-Oeste;DF;Brasília;0;0;22;35;1
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;DF;Brasília;0;0;83;135;46
2024;322;1382607;Redes De Computadores;06;Computação e Tecnologias da Informação e Comunicação (TIC);Redes de computadores;3;2;2;Centro-Oeste;DF;Brasília;0;0;17;19;2
2024;322;1484730;Segurança Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Segurança da informação;3;2;2;Centro-Oeste;DF;Brasília;0;0;25;46;6
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Alexânia;0;0;7;7;1
2024;322;1551097;Ciência Da Computação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Ciência da computação;1;2;2;Centro-Oeste;GO;Alexânia;0;0;2;0;0
2024;322;1131979;Gestão Da Tecnologia Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Gestão da tecnologia da informação;3;2;2;Centro-Oeste;GO;Alexânia;0;0;3;4;3
2024;322;1382607;Redes De Computadores;06;Computação e Tecnologias da Informação e Comunicação (TIC);Redes de computadores;3;2;2;Centro-Oeste;GO;Alexânia;0;0;1;1;0
2024;322;1484730;Segurança Da Informação;06;Computação e Tecnologias da Informação e Comunicação (TIC);Segurança da informação;3;2;2;Centro-Oeste;GO;Alexânia;0;0;0;1;1
2024;322;1286800;Análise E Desenvolvimento De Sistemas;06;Computação e Tecnologias da Informação e Comunicação (TIC);Sistemas de informação;3;2;2;Centro-Oeste;GO;Anápolis;0;0;11;24;8
